round,train_loss,eval_loss,eta
0,2.006354,2.000237,0.001
1,2.006338,2.000219,0.001
1,2.006338,2.000219,0.001
2,2.006338,2.000219,0.00105
3,2.006277,2.000156,0.00105
3,2.006277,2.000156,0.0011025
4,2.006277,2.000156,0.0011025
5,2.006257,2.000137,0.00105
5,2.006257,2.000137,0.001
0,2.006257,2.000137,0.001
1,2.006244,2.000122,0.001
1,2.006244,2.000122,0.000952381
2,2.006244,2.000122,0.000952381
3,2.006235,2.000113,0.000907029
4,2.006231,2.000110,0.000863838
4,2.006231,2.000110,0.000907029
5,2.006231,2.000110,0.000952381
6,2.006225,2.000104,0.000952381
7,2.006205,2.000086,0.001
7,2.006205,2.000086,0.00105
8,2.006205,2.000086,0.0011025
9,2.006170,2.000046,0.0011025
9,2.006170,2.000046,0.00105
10,2.006170,2.000046,0.001
11,2.006170,2.000046,0.00105
12,2.006164,2.000040,0.00105
12,2.006164,2.000040,0.001
13,2.006164,2.000040,0.001
14,2.006164,2.000040,0.001
15,2.006132,2.000007,0.001
15,2.006132,2.000007,0.000952381
16,2.006132,2.000007,0.001
17,2.006124,1.999999,0.001
18,2.006088,1.999965,0.000952381
18,2.006088,1.999965,0.000907029
19,2.006088,1.999965,0.000907029
20,2.006033,1.999911,0.000863838
20,2.006033,1.999911,0.000822702
21,2.006033,1.999911,0.000863838
22,2.006033,1.999911,0.000907029
23,2.006022,1.999900,0.000907029
23,2.006022,1.999900,0.000863838
24,2.006022,1.999900,0.000863838
25,2.006022,1.999900,0.000863838
26,2.006011,1.999887,0.000863838
26,2.006011,1.999887,0.000822702
27,2.006011,1.999887,0.000863838
28,2.006000,1.999875,0.000863838
29,2.005987,1.999863,0.000822702
29,2.005987,1.999863,0.000863838
30,2.005987,1.999863,0.000907029
31,2.005969,1.999845,0.000907029
31,2.005969,1.999845,0.000952381
32,2.005969,1.999845,0.000907029
33,2.005969,1.999845,0.000952381
34,2.005930,1.999805,0.000952381
34,2.005930,1.999805,0.000907029
35,2.005930,1.999805,0.000952381
36,2.005930,1.999805,0.001
37,2.005899,1.999775,0.001
37,2.005899,1.999775,0.000952381
38,2.005899,1.999775,0.000952381
39,2.005877,1.999753,0.000907029
40,2.005864,1.999741,0.000952381
40,2.005864,1.999741,0.000907029
41,2.005864,1.999741,0.000952381
42,2.005849,1.999726,0.000952381
42,2.005849,1.999726,0.001
43,2.005849,1.999726,0.000952381
44,2.005849,1.999726,0.001
45,2.005816,1.999695,0.001
45,2.005816,1.999695,0.000952381
46,2.005816,1.999695,0.000952381
47,2.005809,1.999688,0.000907029
48,2.005794,1.999672,0.000952381
48,2.005794,1.999672,0.001
49,2.005794,1.999672,0.00105
50,2.005774,1.999653,0.00105
50,2.005774,1.999653,0.0011025
51,2.005774,1.999653,0.00105
52,2.005774,1.999653,0.0011025
53,2.005743,1.999619,0.0011025
53,2.005743,1.999619,0.00115763
54,2.005743,1.999619,0.00121551
55,2.005743,1.999619,0.00127628
56,2.005723,1.999602,0.00127628
56,2.005723,1.999602,0.0013401
57,2.005723,1.999602,0.0013401
58,2.005709,1.999586,0.00127628
59,2.005692,1.999569,0.0013401
59,2.005692,1.999569,0.0014071
60,2.005692,1.999569,0.0014071
61,2.005677,1.999555,0.0013401
61,2.005677,1.999555,0.00127628
62,2.005677,1.999555,0.0013401
63,2.005677,1.999555,0.0013401
64,2.005651,1.999527,0.0013401
64,2.005651,1.999527,0.0014071
65,2.005651,1.999527,0.00147746
66,2.005651,1.999527,0.00147746
67,2.005603,1.999476,0.00147746
67,2.005603,1.999476,0.00155133
68,2.005603,1.999476,0.00155133
69,2.005571,1.999446,0.00155133
70,2.005530,1.999406,0.00162889
71,2.005508,1.999385,0.00171034
71,2.005508,1.999385,0.00179586
72,2.005508,1.999385,0.00188565
73,2.005471,1.999348,0.00188565
74,2.005448,1.999324,0.00197993
75,2.005398,1.999272,0.00197993
75,2.005398,1.999272,0.00188565
76,2.005398,1.999272,0.00188565
77,2.005311,1.999190,0.00179586
78,2.005243,1.999118,0.00188565
79,2.005226,1.999102,0.00179586
79,2.005226,1.999102,0.00188565
80,2.005226,1.999102,0.00188565
81,2.005211,1.999087,0.00179586
82,2.005174,1.999051,0.00188565
83,2.005151,1.999026,0.00197993
83,2.005151,1.999026,0.00207893
84,2.005151,1.999026,0.00207893
85,2.005131,1.999010,0.00197993
