round,train_loss,eval_loss,eta
0,2.006354,2.000237,0.001
1,2.006338,2.000219,0.001
2,2.006322,2.000201,0.00105
2,2.006322,2.000201,0.00105
3,2.006322,2.000201,0.0011025
4,2.006297,2.000175,0.0011025
4,2.006297,2.000175,0.0011025
5,2.006297,2.000175,0.0011025
6,2.006284,2.000163,0.0011025
6,2.006284,2.000163,0.00105
7,2.006284,2.000163,0.00105
8,2.006273,2.000152,0.0011025
8,2.006273,2.000152,0.00115763
9,2.006273,2.000152,0.00115763
10,2.006273,2.000152,0.00121551
11,2.006264,2.000144,0.00121551
11,2.006264,2.000144,0.00121551
12,2.006264,2.000144,0.00121551
13,2.006256,2.000134,0.00121551
13,2.006256,2.000134,0.00127628
14,2.006256,2.000134,0.00127628
15,2.006215,2.000089,0.00127628
16,2.006202,2.000076,0.0013401
17,2.006190,2.000064,0.0013401
17,2.006190,2.000064,0.00127628
18,2.006190,2.000064,0.0013401
19,2.006175,2.000051,0.0013401
19,2.006175,2.000051,0.0014071
20,2.006175,2.000051,0.0014071
21,2.006128,2.000003,0.00147746
22,2.006113,1.999987,0.00147746
23,2.006090,1.999964,0.00155133
23,2.006090,1.999964,0.00147746
24,2.006090,1.999964,0.00155133
25,2.006045,1.999918,0.00155133
25,2.006045,1.999918,0.00147746
26,2.006045,1.999918,0.00155133
27,2.005993,1.999868,0.00155133
28,2.005976,1.999847,0.00147746
28,2.005976,1.999847,0.0014071
29,2.005976,1.999847,0.00147746
30,2.005937,1.999807,0.00147746
30,2.005937,1.999807,0.0014071
31,2.005937,1.999807,0.0014071
32,2.005918,1.999785,0.00147746
33,2.005910,1.999777,0.0014071
34,2.005889,1.999757,0.00147746
34,2.005889,1.999757,0.0014071
35,2.005889,1.999757,0.00147746
36,2.005872,1.999737,0.00147746
36,2.005872,1.999737,0.00155133
37,2.005872,1.999737,0.00155133
38,2.005813,1.999682,0.00162889
39,2.005798,1.999669,0.00155133
39,2.005798,1.999669,0.00147746
40,2.005798,1.999669,0.00147746
41,2.005766,1.999637,0.00155133
41,2.005766,1.999637,0.00162889
42,2.005766,1.999637,0.00171034
43,2.005713,1.999586,0.00171034
44,2.005663,1.999537,0.00162889
45,2.005623,1.999497,0.00171034
45,2.005623,1.999497,0.00162889
46,2.005623,1.999497,0.00162889
47,2.005584,1.999459,0.00171034
47,2.005584,1.999459,0.00179586
48,2.005584,1.999459,0.00188565
49,2.005533,1.999408,0.00179586
50,2.005507,1.999381,0.00179586
50,2.005507,1.999381,0.00188565
51,2.005507,1.999381,0.00188565
52,2.005478,1.999352,0.00197993
52,2.005478,1.999352,0.00207893
53,2.005478,1.999352,0.00218287
54,2.005429,1.999303,0.00218287
55,2.005412,1.999284,0.00229202
55,2.005412,1.999284,0.00218287
56,2.005412,1.999284,0.00218287
57,2.005356,1.999228,0.00229202
57,2.005356,1.999228,0.00218287
58,2.005356,1.999228,0.00218287
59,2.005316,1.999193,0.00229202
60,2.005275,1.999153,0.00240662
61,2.005239,1.999117,0.00252695
61,2.005239,1.999117,0.00240662
62,2.005239,1.999117,0.00252695
63,2.005166,1.999042,0.00252695
63,2.005166,1.999042,0.0026533
64,2.005166,1.999042,0.00278596
65,2.005130,1.999009,0.00278596
66,2.005049,1.998921,0.00292526
66,2.005049,1.998921,0.00278596
67,2.005049,1.998921,0.00278596
68,2.005013,1.998882,0.00292526
68,2.005013,1.998882,0.00307152
69,2.005013,1.998882,0.0032251
70,2.004967,1.998833,0.0032251
71,2.004949,1.998819,0.00307152
72,2.004881,1.998762,0.0032251
72,2.004881,1.998762,0.00307152
73,2.004881,1.998762,0.00307152
74,2.004852,1.998739,0.0032251
74,2.004852,1.998739,0.00338635
75,2.004852,1.998739,0.00355567
76,2.004761,1.998652,0.00355567
77,2.004653,1.998535,0.00338635
77,2.004653,1.998535,0.00355567
78,2.004653,1.998535,0.00373346
79,2.004580,1.998464,0.00373346
79,2.004580,1.998464,0.00355567
80,2.004580,1.998464,0.00355567
81,2.004506,1.998393,0.00373346
82,2.004443,1.998335,0.00355567
83,2.004345,1.998233,0.00338635
83,2.004345,1.998233,0.00355567
84,2.004345,1.998233,0.00355567
85,2.004286,1.998177,0.00373346
85,2.004286,1.998177,0.00355567
86,2.004286,1.998177,0.00373346
87,2.004257,1.998147,0.00373346
88,2.004208,1.998093,0.00392013
88,2.004208,1.998093,0.00373346
