round,train_loss,eval_loss,eta
114,2.003939,1.997889,0.00411614
115,2.003939,1.997889,0.00392013
116,2.003910,1.997863,0.00392013
116,2.003910,1.997863,0.00411614
117,2.003910,1.997863,0.00392013
118,2.003860,1.997810,0.00392013
118,2.003860,1.997810,0.00411614
119,2.003860,1.997810,0.00411614
119,2.003860,1.997810,0.00411614
120,2.003860,1.997810,0.00411614
121,2.003783,1.997741,0.00411614
121,2.003783,1.997741,0.00432194
122,2.003783,1.997741,0.00432194
123,2.003750,1.997702,0.00453804
123,2.003750,1.997702,0.00476494
124,2.003750,1.997702,0.00476494
125,2.003736,1.997688,0.00500319
125,2.003736,1.997688,0.00500319
126,2.003736,1.997688,0.00500319
127,2.003613,1.997567,0.00500319
127,2.003613,1.997567,0.00525335
128,2.003613,1.997567,0.00500319
129,2.003491,1.997435,0.00500319
129,2.003491,1.997435,0.00525335
130,2.003491,1.997435,0.00525335
130,2.003491,1.997435,0.00525335
131,2.003491,1.997435,0.00551602
132,2.003438,1.997384,0.00579182
132,2.003438,1.997384,0.00608141
133,2.003438,1.997384,0.00579182
134,2.003352,1.997307,0.00579182
134,2.003352,1.997307,0.00608141
135,2.003352,1.997307,0.00608141
136,2.003245,1.997199,0.00638548
136,2.003245,1.997199,0.00608141
137,2.003245,1.997199,0.00608141
138,2.003192,1.997141,0.00638548
138,2.003192,1.997141,0.00670475
139,2.003192,1.997141,0.00670475
140,2.002999,1.996940,0.00703999
140,2.002999,1.996940,0.00739199
141,2.002999,1.996940,0.00739199
141,2.002999,1.996940,0.00739199
142,2.002999,1.996940,0.00776159
143,2.002876,1.996817,0.00814967
143,2.002876,1.996817,0.00855715
144,2.002876,1.996817,0.00814967
145,2.002810,1.996758,0.00814967
145,2.002810,1.996758,0.00855715
146,2.002810,1.996758,0.00814967
147,2.002737,1.996690,0.00814967
147,2.002737,1.996690,0.00814967
148,2.002737,1.996690,0.00814967
149,2.002535,1.996479,0.00814967
149,2.002535,1.996479,0.00855715
150,2.002535,1.996479,0.00814967
151,2.002344,1.996285,0.00814967
151,2.002344,1.996285,0.00855715
152,2.002344,1.996285,0.00814967
152,2.002344,1.996285,0.00814967
153,2.002344,1.996285,0.00776159
154,2.002200,1.996140,0.00776159
154,2.002200,1.996140,0.00814967
155,2.002200,1.996140,0.00776159
156,2.002065,1.995998,0.00776159
156,2.002065,1.995998,0.00814967
157,2.002065,1.995998,0.00776159
157,2.002065,1.995998,0.00776159
158,2.001978,1.995918,0.00776159
158,2.001978,1.995918,0.00814967
159,2.001626,1.995583,0.00814967
159,2.001626,1.995583,0.00855715
160,2.001520,1.995474,0.00855715
160,2.001520,1.995474,0.00898501
161,2.001168,1.995134,0.00898501
161,2.001168,1.995134,0.00943426
162,2.000989,1.994963,0.00943426
162,2.000989,1.994963,0.00990597
163,2.000940,1.994913,0.00990597
163,2.000940,1.994913,0.0104013
164,2.000734,1.994717,0.0104013
164,2.000734,1.994717,0.0109213
165,2.000500,1.994498,0.0109213
165,2.000500,1.994498,0.0114674
166,2.000267,1.994264,0.0120408
166,2.000267,1.994264,0.0120408
167,1.999828,1.993838,0.0120408
167,1.999828,1.993838,0.0126428
168,1.999480,1.993486,0.0126428
168,1.999480,1.993486,0.0120408
169,1.999341,1.993358,0.0120408
169,1.999341,1.993358,0.0114674
170,1.999216,1.993224,0.0114674
170,1.999216,1.993224,0.0114674
171,1.999141,1.993133,0.0109213
171,1.999141,1.993133,0.0104013
172,1.998852,1.992870,0.0104013
172,1.998852,1.992870,0.00990597
173,1.998655,1.992675,0.00990597
173,1.998655,1.992675,0.00943426
174,1.998593,1.992615,0.00943426
174,1.998593,1.992615,0.00943426
175,1.998499,1.992511,0.00898501
175,1.998499,1.992511,0.00855715
176,1.998322,1.992319,0.00855715
176,1.998322,1.992319,0.00814967
177,1.997957,1.991954,0.00814967
177,1.997957,1.991954,0.00776159
178,1.997493,1.991478,0.00776159
178,1.997493,1.991478,0.00739199
179,1.997312,1.991316,0.00739199
179,1.997312,1.991316,0.00703999
179,1.997312,1.991316,0.00703999
179,1.997312,1.991316,0.00703999
179,1.997312,1.991316,0.00703999
179,1.997312,1.991316,0.00703999
179,1.997312,1.991316,0.00703999
179,1.997312,1.991316,0.00703999
179,1.997312,1.991316,0.00703999
179,1.997312,1.991316,0.00703999
179,1.997312,1.991316,0.00703999
179,1.997312,1.991316,0.00703999
179,1.997312,1.991316,0.00703999
