round,train_loss,eval_loss,eta
187,1.814464,1.810294,0.1
188,1.813126,1.809035,0.1
189,1.812464,1.808422,0.1
190,1.811570,1.807542,0.1
191,1.810808,1.806773,0.1
192,1.810178,1.806143,0.1
193,1.808179,1.804200,0.1
194,1.806871,1.802848,0.1
195,1.806238,1.802165,0.1
196,1.805130,1.801145,0.1
197,1.804413,1.800292,0.1
198,1.803072,1.799075,0.1
199,1.802275,1.798275,0.1
200,1.800787,1.796683,0.1
201,1.798982,1.794828,0.1
202,1.797257,1.793144,0.1
203,1.796450,1.792290,0.1
204,1.795465,1.791385,0.1
205,1.794959,1.790952,0.1
206,1.793889,1.789849,0.1
207,1.793503,1.789452,0.1
208,1.792643,1.788521,0.1
209,1.791363,1.787282,0.1
210,1.789758,1.785747,0.1
211,1.787900,1.783931,0.1
212,1.785680,1.781644,0.1
213,1.783557,1.779694,0.1
214,1.782552,1.778672,0.1
215,1.782063,1.778255,0.1
216,1.780819,1.777030,0.1
217,1.779924,1.776178,0.1
218,1.779195,1.775451,0.1
219,1.777809,1.773998,0.1
220,1.776626,1.772783,0.1
221,1.774771,1.771097,0.1
222,1.773855,1.770247,0.1
223,1.772887,1.769255,0.1
224,1.771443,1.767939,0.1
225,1.770823,1.767324,0.1
226,1.770065,1.766563,0.1
227,1.769229,1.765812,0.1
228,1.768412,1.765091,0.1
229,1.767453,1.764089,0.1
230,1.765944,1.762469,0.1
231,1.764971,1.761470,0.1
232,1.764189,1.760807,0.1
233,1.762980,1.759689,0.1
234,1.762119,1.758776,0.1
235,1.760286,1.756938,0.1
236,1.759752,1.756440,0.1
237,1.758811,1.755408,0.1
238,1.757534,1.754151,0.1
239,1.756259,1.752968,0.1
240,1.753817,1.750697,0.1
241,1.753541,1.750413,0.1
242,1.752066,1.749025,0.1
243,1.751175,1.748189,0.1
244,1.748801,1.745904,0.1
245,1.748381,1.745477,0.1
246,1.747587,1.744742,0.1
247,1.746658,1.743782,0.1
248,1.745229,1.742401,0.1
249,1.744457,1.741524,0.1
250,1.742442,1.739697,0.1
251,1.741883,1.739121,0.1
